korean,english
어제 먹은 피자 너무 맛있었어요,The pizza I ate yesterday was delicious (Adnominal Suffix Past Tense)
날마다 먹는 음식이 지겨워요,I'm tired of the food I eat everyday (Adnominal Suffix Present Tense)
이건 내일 아침에 먹을 빵이에요,This is the bread I will eat tomorrow (Adnominal Suffix Future Tense)
식구,Family member
형제,Brothers
언니,Older sister
여동생,Younger sister
자매,Sisters
저희,We (humbling)
우리 아빠 몇 살이에요?,How old is our father?
내 방이 집에서 제일 커,My room is the biggest in the house
너는 친구 몇 명 있어요?,How many friends do you have?
저는 친구 두 명 있어요,I have 2 friends
가적이 몇 명 이세요?,How many people are in your family?
개,Dog
소,Cow
고양이,Cat
버전,Version
출시,Release (SW)
단말,Device / Terminal
자동차,Car
기념일,Anniversary
준비해요,To prepare (Present Tense)
겨우,With difficulty
코멘트 세 줄 써 주세요,Please write a comment in three lines
주문해요,To order (Present Tense)
저는 컴퓨터 열 대 주문하고 싶어,I want to order ten computers
나무,Wood / Tree
정원,Garden
벽,Wall
이번 달,This month
지난 달,Last month
다음 달,Next month
일주일,One week
이주,Two weeks
삼주,Three weeks
멀어요,To be far (Present Tense)
대회,Competition
중요해요,To be important (Present Tense)
뛰어요,To run (Present Tense)
몇 번 ...?,How many times ...?
참가해요,To participate (Present Tense)
다음 주부터 오지 마세요!,"From next week, don't come!"
더러워요,To be dirty (Present Tense)
알고 싶어요!,(I) want to know!
지금 나가야 해요!,(I) have to go now!
조용히,Quietly
하교에 갈 데 같이 가자!,"When you go to school, let's go together!"
공부할 데 음악을 들어요,"When I study, I listen to music"
챙겨요,To take / To not forget (Present Tense)
열쇠,Key
연락해요,To contact / To keep in touch (Present Tense)
자주,Often / Frequently
돌아와요,To come back (Present Tense)
군대,Army / Military
유학해요,To study abroad (Present Tense)
신용카드,Credit Card
힘내!,Cheer up!
여행,Trip
설마,Impossible / By any chance
하루,One day (K)
이틀,Two days (K)
일일,One day (S)
이일,Two days (S)
삼일,Three days (S)
한해,One year (K)
두해,Two years (K)
일년,One year (S)
이년,Two years (S)
한달,One month (K)
두달,Two months (K)
일개월,One month (S)
이개월,Two months (S)
주머니,Pocket
삼일만에 십에 돌아왔어요!,(I) came back home three days after
한달만에 학교에 갔어요!,(I) went to school a month after
오냔만에 다시 영어 공부를 시작했어요!,(I) started studying English again after 5 years
이 집 떡볶이가 진짜 맛있어요!,The dokbokki here is really delicious!
유리창에 달팽이가 있어요,There is a snail on the window
... 라도,At least ... (Noun Suffix)
영화라도 볼까?,Shall (we) at least watch (some) movies?
너는 함버거까지 사왔어?,Did you even buy (and brought) hamburgers?
